11	7	216	-3.9200	-10.8300
11	8	232	-4.7300	-14.0700
11	9	233	-7.7700	-13.8900
11	10	234	-9.4200	-13.5500
11	11	235	-11.4800	-15.0000
11	12	236	-13.4800	-13.2900
11	13	237	-9.6500	-15.3100
11	14	238	-8.2500	-15.9300
11	15	239	-6.3300	-15.2500
11	16	256	-6.3700	-17.6000
12	1	140	-10.7800	-1.5400
12	2	145	-11.9000	-3.3200
12	3	146	-9.8000	-2.6800
12	4	173	-9.7900	-4.8300
12	5	174	-12.3400	-5.2100
12	6	175	-13.8400	-5.9300
12	7	178	-16.3800	-6.9600
12	8	179	-15.5900	-8.4100
12	9	180	-12.7500	-7.3400
12	10	181	-10.5000	-8.0600
12	11	182	-9.7200	-6.4700
12	12	207	-10.0000	-10.0300
12	13	208	-11.6600	-9.4600
12	14	209	-13.8900	-9.7200
12	15	210	-14.7300	-10.9700
12	16	211	-12.5800	-11.0400
13	1	073	-18.1800	5.0000
13	2	107	-15.5400	3.1200
13	3	108	-17.1600	2.8800
13	4	109	-18.6300	3.0500
13	5	110	-18.9200	1.3600
13	6	111	-16.9600	0.5500
13	7	112	-15.0000	1.5300
13	8	113	-14.5600	0.0600
13	9	114	-12.3300	0.3300
13	10	115	-12.1200	2.0500
13	11	141	-18.3700	-1.5600
13	12	142	-16.8500	-3.0100
13	13	143	-15.1100	-2.5000
13	14	144	-13.6800	-3.7400
13	15	176	-15.0600	-4.4600
13	16	177	-17.6600	-4.4600
14	1	040	-13.4400	10.8900
14	2	041	-15.7600	10.4500
14	3	042	-13.4800	9.1100
14	4	043	-11.6800	10.1700
14	5	045	-9.0000	9.0600
14	6	068	-8.8800	6.6000
14	7	069	-10.6400	8.6000
14	8	070	-12.1900	8.3300
14	9	071	-13.7600	7.3400
14	10	072	-15.9300	8.0200
14	11	074	-16.8300	6.1300
14	12	075	-14.2900	4.3900
14	13	076	-12.3200	5.3400
14	14	077	-10.6400	5.5700
14	15	078	-8.8700	4.8700
14	16	106	-12.8600	3.9100
15	1	001	-6.8100	17.4700
